From	To
Q9BSJ1	Q9BSJ1
Q9Y4M8	Q9Y4M8
Q86Y91	Q86Y91
Q93034	Q93034
P18583	P18583
P35367	P35367
P78424	P78424
Q7Z3I0	Q8IYB9
Q8TDM0	Q8TDM0
Q13286	Q13286
Q9Y6E0	Q9Y6E0
Q8IXT5	Q8IXT5
Q8WW59	Q8WW59
O95751	O95751
P57735	P57735
Q9BXT8	Q9BXT8
Q6P5W2	Q6P5W2
Q9NQZ2	Q9NQZ2
Q9H0R4	Q9H0R4
Q14847	Q14847
Q14919	Q14919
P06899	P06899
O95639	O95639
O15015	O15015
P13682	P13682
Q96DY7	Q96DY7
Q15486	Q15486
Q9HCE6	Q9HCE6
Q5DX21	Q5DX21
Q549C5	Q549C5
K9JA46	K9JA46
P62753	P62753
Q9NZL4	Q9NZL4
Q76FK4	Q76FK4
P49715	P49715
P57077	P57077
Q03989	Q03989
Q96RT7	Q96RT7
Q9UDX5	Q9UDX5
Q8N8R7	Q8N8R7
Q9BZM6	Q9BZM6
Q9NZJ6	Q9NZJ6
Q8N1W1	Q8N1W1
A0S2M1	A0S2M1
Q8IYI8	Q8IYI8
P04280	P04280
Q96L03	Q96L03
Q6DN12	Q6DN12
Q03403	Q03403
P62495	P62495
O15040	O15040
P13942	P13942
Q9H5H4	Q9H5H4
Q12996	Q12996
Q96LW7	Q96LW7
P32418	P32418
Q6FIG4	Q6FIG4
P50416	P50416
Q9NWV4	Q9NWV4
Q6ZVK8	Q6ZVK8
Q9Y3E5	Q9Y3E5
Q5TYM5	Q5TYM5
Q9BUH8	Q9BUH8
Q8IWA6	Q8IWA6
Q6IB77	Q6IB77
Q9NRC1	Q9NRC1
Q86WS3	Q86WS3
P26718	P26718
P34903	P34903
Q13634	Q13634
O00175	O00175
Q6LEU9	Q6LEU9
B4DRS6	B4DRS6
Q9NYS0	Q9NYS0
P43304	P43304
O75603	O75603
Q96MX0	Q96MX0
Q6ZW31	Q6ZW31
Q96C55	Q96C55
Q8N729	Q8N729
Q9BYE2	Q9BYE2
P20036	P20036
E7ENI6	E7ENI6
Q53FG3	Q53FG3
A5D8V6	A5D8V6
Q07000	P10321
Q7LGC8	Q7LGC8
P11940	P11940
Q9HAT1	Q9HAT1
O94964	O94964
P00403	P00403
Q8N4G4	Q8N4G4
P18077	P18077
Q6FHF7	Q6FHF7
Q8TDF6	Q8TDF6
Q9Y6D5	Q9Y6D5
P53582	P53582
Q8N7M0	Q8N7M0
Q71RC9	Q71RC9
Q9H1Z8	Q9H1Z8
A1L4B6	Q8IWZ5
P26442	Q9UKV5
O95944	O95944
Q6P9F5	Q6P9F5
Q8N6E6	Q8N6E6
A0M8Q9	A0M8Q9
O14569	O14569
Q96LK0	Q96LK0
P03950	P03950
P35070	P35070
P10809	P10809
Q8TD90	Q8TD90
Q969W8	Q969W8
P35611	P35611
O14531	O14531
P08253	P08253
Q9NUJ7	Q9NUJ7
P49765	P49765
Q9UNQ0	Q9UNQ0
Q9BXP8	Q9BXP8
P08758	P08758
J3KQ12	J3KQ12
Q5VXT5	Q5VXT5
Q8IYU4	Q8IYU4
Q3V5L5	Q3V5L5
Q9H2G2	Q9H2G2
P78337	P78337
P02585	P02585
Q9Y2J8	Q9Y2J8
Q9NP74	Q9NP74
Q7Z4I7	Q7Z4I7
Q9H5Q2	Q9H5Q2
P12830	P12830
Q9NRL3	Q9NRL3
K7EK07	K7EK07
Q01804	Q01804
Q9UM47	Q9UM47
P13746	P04439
Q9GZX7	Q9GZX7
P49459	P49459
Q06323	Q06323
Q5VWC4	Q5VWC4
A1L188	A1L188
Q15771	Q15771
Q6PIK7	Q6PIK7
G3V439	G3V439
Q93097	Q93097
A0A0G2JLS1	A0A0G2JLS1
P0C1Z6	P0C1Z6
P52429	P52429
Q53FP2	Q53FP2
Q96P48	Q96P48
P10909	P10909
Q96FX7	Q96FX7
Q96CJ1	Q96CJ1
Q5VTB9	Q5VTB9
P54578	P54578
Q02446	Q02446
Q0D2H9	Q0D2H9
Q96F86	Q96F86
Q9H2W6	Q9H2W6
Q3KQU3	Q3KQU3
Q969S8	Q969S8
Q86YM7	Q86YM7
Q7Z3J3	Q7Z3J3
Q15427	Q15427
A6NLU0	A6NLU0
E5RFK5	E5RFK5
Q7Z4R8	Q7Z4R8
Q5T9C2	Q5T9C2
Q6PP77	Q6PP77
A5D8V7	A5D8V7
Q66K89	Q66K89
Q14061	Q14061
P48067	P48067
Q9UD71	Q9UD71
Q9Y618	Q9Y618
Q8WZ75	Q8WZ75
P21452	P21452
Q9BUJ2	Q9BUJ2
Q86YD1	Q86YD1
Q9H0E2	Q9H0E2
P43005	P43005
P54802	P54802
Q9H9Z2	Q9H9Z2
Q9BZG1	Q9BZG1
Q9BXU7	Q9BXU7
O76050	O76050
Q9NYV4	Q9NYV4
Q9Y3R0	Q9Y3R0
Q9BXQ6	Q9BXQ6
Q86W26	Q86W26
A4D1S0	A4D1S0
H0Y5T1	H0Y5T1
Q96IG2	Q96IG2
P31150	P31150
Q5VYY1	Q5VYY1
Q9NX95	Q9NX95
Q6P593	Q6P593
P49354	P49354
Q13491	Q13491
O43918	O43918
Q12934	Q12934
P18031	P18031
Q9NS71	Q9NS71
E7EMZ9	E7EMZ9
Q96EH3	Q96EH3
O43597	O43597
Q8N6T3	Q8N6T3
Q86WI5	Q86WI5
Q8N9M5	Q8N9M5
Q9UHC1	Q9UHC1
Q69YI7	Q69YI7
Q9H9J4	Q9H9J4
Q8NB59	Q8NB59
Q5W150	Q5W150
A0A0A0MQU8	A0A0A0MQU8
Q9BPZ3	Q9BPZ3
Q5VIR6	Q5VIR6
Q92882	Q92882
Q9H4I3	Q9H4I3
Q9BRZ2	Q9BRZ2
Q6GMV2	Q6GMV2
Q8N6T7	Q8N6T7
Q6P9A2	Q6P9A2
Q9NWF4	Q9NWF4
Q9NYL2	Q9NYL2
Q86YS3	Q86YS3
Q9H0U3	Q9H0U3
Q06203	Q06203
Q2LD37	Q2LD37
O95382	O95382
Q9BYT1	Q9BYT1
Q8IXZ2	Q8IXZ2
Q9C0D5	Q9C0D5
Q8TAV5	Q8TAV5
Q8WWV3	Q8WWV3
Q96IT6	Q96IT6
Q9Y2B4	Q9Y2B4
Q5W0Z9	Q5W0Z9
Q9NPR5	Q9NPR5
P33151	P33151
P12955	P12955
Q8TAQ2	Q8TAQ2
P50443	P50443
Q96A57	Q96A57
Q6ZV56	Q6ZV56
Q15361	Q15361
Q9Y2V0	Q9Y2V0
Q02641	Q02641
Q86SJ6	Q86SJ6
Q5VV67	Q5VV67
Q96NR8	Q96NR8
Q2VPB7	Q2VPB7
Q5T2S8	Q5T2S8
Q6URK8	Q6URK8
P49759	P49759
J3KNB8	J3KNB8
P11310	P11310
F5H6C2	F5H6C2
Q6TFL4	Q6TFL4
Q9H9G7	Q9H9G7
Q9H6H2	Q9H6H2
P34998	P34998
Q9HCX4	Q9HCX4
Q96HP4	Q96HP4
Q9UBC1	Q9UBC1
Q9Y496	Q9Y496
P39023	P39023
Q9H6Y2	Q9H6Y2
P28065	P28065
Q8TCT8	Q8TCT8
Q9HBL7	Q9HBL7
Q9UGT4	Q9UGT4
Q8TBE7	Q8TBE7
Q9BWM7	Q9BWM7
Q86YB7	Q86YB7
Q8N4N7	Q8N4N7
O00254	O00254
Q9H5F2	Q9H5F2
B0QY89	B0QY89
Q14108	Q14108
P05181	P05181
Q9P2A4	Q9P2A4
P08684	P08684
Q86SZ2	Q86SZ2
P20810	P20810
Q9NVL8	Q9NVL8
O14523	O14523
Q5T481	Q5T481
P11766	P11766
Q8N7C3	Q8N7C3
Q16654	Q16654
Q9HB21	Q9HB21
Q8N7W2	Q8N7W2
P35913	P35913
Q9NW08	Q9NW08
Q6U841	Q6U841
Q16851	Q16851
Q96GQ5	Q96GQ5
Q86W42	Q86W42
P18206	P18206
P52198	P52198
Q8WYK2	Q8WYK2
O95398	O95398
Q8NDY6	Q8NDY6
Q9BVJ7	Q9BVJ7
Q9Y4X5	Q9Y4X5
P02748	P02748
Q9Y3A5	Q9Y3A5
P49190	P49190
A2RUT3	A2RUT3
B4DX78	B4DX78
Q9NRS4	Q9NRS4
P63272	P63272
A6BM72	A6BM72
Q8WXE9	Q8WXE9
P30085	P30085
O95257	O95257
Q8NB46	Q8NB46
F8W6L3	F8W6L3
Q86UQ8	Q86UQ8
Q96HX3	Q96HX3
Q6FHQ0	Q6FHQ0
Q8N752	Q8N752
Q8WYP5	Q8WYP5
O75886	O75886
Q9NTM9	Q9NTM9
Q6ISP9	Q6ISP9
P0C7T5	P0C7T5
Q8WU67	Q8WU67
Q6UXA7	Q6UXA7
Q9Y6K8	Q9Y6K8
O00411	O00411
Q99707	Q99707
Q6GPH4	Q6GPH4
P61160	P61160
Q99576	Q99576
Q8TC41	Q8TC41
Q8NG75	Q8NG75
Q6P996	Q6P996
P31260	P31260
Q96P70	Q96P70
P53814	P53814
O00159	O00159
Q5JR94	Q5JR94
P35354	P35354
Q17RB0	Q17RB0
O75677	O75677
Q9H2D1	Q9H2D1
O14978	O14978
Q8N257	Q8N257
Q9NP59	Q9NP59
O43739	O43739
A0A024R0L9	A0A024R0L9
P30443	P04439
Q9Y6E7	Q9Y6E7
Q9Y5S9	Q9Y5S9
Q13451	Q13451
O00585	O00585
O95747	O95747
Q9UIF7	Q9UIF7
Q5TGY1	Q5TGY1
Q8IXZ3	Q8IXZ3
Q9HB96	Q9HB96
Q9Y2C5	Q9Y2C5
Q96FN9	Q96FN9
O75828	O75828
P10912	P10912
Q15131	Q15131
Q96I30	Q96I30
Q8WUU5	Q8WUU5
A7MCY6	A7MCY6
P25106	P25106
Q9NQZ6	Q9NQZ6
P28360	P28360
Q9Y287	Q9Y287
O75122	O75122
A0S183	A0S183
Q86UW9	Q86UW9
P30464	P01889
Q6ZV77	Q6ZV77
Q96H22	Q96H22
O94955	O94955
O00231	O00231
Q96JA4	Q96JA4
Q6ZT21	Q6ZT21
Q96CW9	Q96CW9
Q96QU8	Q96QU8
P34130	P34130
Q14693	Q14693
P41002	P41002
P98160	P98160
Q9H1I8	Q9H1I8
Q96H12	Q96H12
Q8TCI5	Q8TCI5
P51124	P51124
P78537	P78537
P08637	P08637
P56377	P56377
Q8N5K1	Q8N5K1
Q67FW5	Q67FW5
Q8N3T1	Q8N3T1
P52788	P52788
Q9UHJ6	Q9UHJ6
Q9HCE9	Q9HCE9
Q96DN2	Q96DN2
P55786	P55786
Q8NE01	Q8NE01
O15273	O15273
O15451	O15451
P13196	P13196
P60370	P60370
P00491	P00491
Q9Y2S7	Q9Y2S7
P42566	P42566
A8MUK1	A8MUK1
P20231	P20231
Q96LA8	Q96LA8
Q8TAA5	Q8TAA5
P05154	P05154
Q13477	Q13477
P62891	P62891
P10768	P10768
O43809	O43809
P02679	P02679
Q9Y5R4	Q9Y5R4
Q9UKT7	Q9UKT7
Q8N2F6	Q8N2F6
Q99828	Q99828
Q5XUX1	Q5XUX1
Q3B7T3	Q3B7T3
Q7RTY0	Q7RTY0
A2VDF0	A2VDF0
Q16563	Q16563
Q8NET4	Q8NET4
Q9UKT6	Q9UKT6
P49662	P49662
P30511	P30511
Q8IZU1	Q8IZU1
P30556	P30556
P28566	P28566
P81877	P81877
O94927	O94927
Q8IXM2	Q8IXM2
Q49A26	Q49A26
Q7L945	Q7L945
Q9NTG1	Q9NTG1
Q9UQ26	Q9UQ26
P40818	P40818
Q96QU6	Q96QU6
Q96KS9	Q96KS9
B0QYN7	B0QYN7
O75690	O75690
Q9Y5G4	Q9Y5G4
Q2M1V0	Q2M1V0
Q8NCR0	Q8NCR0
A6NGB9	A6NGB9
Q8N6M6	Q8N6M6
Q969S0	Q969S0
Q49MG5	Q49MG5
B2RUZ4	B2RUZ4
P55060	P55060
Q8N162	Q8N162
Q7Z7J9	Q7Z7J9
V9HWJ5	V9HWJ5
P35030	P35030
Q6NVV7	Q6NVV7
Q9UII6	Q9UII6
P62701	P62701
Q9BXX3	Q9BXX3
Q6NZ55	Q6NZ55
P50225	P50225
Q6UW32	Q6UW32
O95377	O95377
Q9UQQ2	Q9UQQ2
Q6UW02	Q6UW02
Q8NEN9	Q8NEN9
Q8NE28	Q8NE28
P16189	P04439
Q12888	Q12888
O14924	O14924
Q9Y5K2	Q9Y5K2
Q6PB30	Q6PB30
P36382	P36382
Q68D86	Q68D86
P57764	P57764
P41182	P41182
Q6IAV4	Q6IAV4
Q8WY91	Q8WY91
P49720	P49720
Q92802	Q92802
Q8NB90	Q8NB90
O60894	O60894
P59665	P59665
Q8NER5	Q8NER5
P08567	P08567
Q3KQZ1	Q3KQZ1
P21980	P21980
A6NGK3	A6NGK3
P54803	P54803
Q9BWX5	Q9BWX5
O95427	O95427
Q9UPM9	Q9UPM9
Q99835	Q99835
B4DLN1	B4DLN1
Q14721	Q14721
O76014	O76014
Q9NS69	Q9NS69
Q96M11	Q96M11
Q9Y6D0	Q9Y6D0
Q15605	Q9UN81
Q8NAP8	Q8NAP8
Q8NES3	Q8NES3
Q9Y2L5	Q9Y2L5
Q8WTW4	Q8WTW4
P14598	P14598
Q9H0N0	Q9H0N0
Q5T197	Q5T197
O15523	O15523
Q9Y4C1	Q9Y4C1
Q9UM11	Q9UM11
Q687X5	Q687X5
Q9HCU8	Q9HCU8
O60318	O60318
P18847	P18847
Q68DI1	Q68DI1
O95968	O95968
P61803	P61803
Q9H0Y0	Q9H0Y0
Q99489	Q99489
Q86VK4	Q86VK4
Q9HB89	Q9HB89
Q5M775	Q5M775
Q7Z434	Q7Z434
D4Q8H0	D4Q8H0
Q9UGL9	Q9UGL9
Q7Z7G0	Q7Z7G0
Q96G75	Q96G75
Q96IK1	Q96IK1
Q12988	Q12988
P19105	P19105
Q6FII3	Q6FII3
O43709	O43709
Q6W6M8	Q6W6M8
Q9NXS2	Q9NXS2
Q07960	Q07960
P61129	P61129
Q8TD16	Q8TD16
Q99878	Q99878
O60896	O60896
Q14140	Q14140
Q92551	Q92551
Q13490	Q13490
O15294	O15294
P42702	P42702
P40617	P40617
Q9P086	Q9P086
Q9BPZ2	Q9BPZ2
O00548	O00548
Q15417	Q15417
Q15695	Q15695
P62699	P62699
Q96D88	Q96D88
Q3ZCX4	Q3ZCX4
Q96CW7	Q96CW7
P19622	P19622
Q9BS91	Q9BS91
O43488	O43488
P23415	P23415
C9JA69	C9JA69
O95180	O95180
P09651	P09651
Q969T9	Q969T9
P53634	P53634
P61604	P61604
P0C0S8	P0C0S8
P52209	P52209
Q96BW9	Q96BW9
A9YTQ3	A9YTQ3
Q7RTT5	Q7RTT5
O00203	O00203
B4DR80	B4DR80
Q549M8	Q549M8
P01892	P04439
Q13503	Q13503
Q969Y2	Q969Y2
P25063	P25063
P32297	P32297
Q6P4E2	Q6P4E2
Q9NWN3	Q9NWN3
O14497	O14497
Q9NPH2	Q9NPH2
A0A024R0Y4	A0A024R0Y4
Q8IVT5	Q8IVT5
Q00325	Q00325
P05543	P05543
P16109	P16109
Q9Y383	Q9Y383
P0C7M8	P0C7M8
Q9Y463	Q9Y463
Q96Q35	Q96Q35
Q9BUL5	Q9BUL5
H0YH87	H0YH87
Q9BRT2	Q9BRT2
Q13405	Q13405
P61758	P61758
A0JP07	A0JP07
P51991	P51991
Q6IAT9	Q6IAT9
Q8N565	Q8N565
P13640	P13640
Q9P217	Q9P217
Q9UHA3	Q9UHA3
F8VWL3	F8VWL3
Q9BTY7	Q9BTY7
Q92546	Q92546
Q9Y5Y3	Q9Y5Y3
A6NHL2	A6NHL2
P35568	P35568
P43155	P43155
O60285	O60285
Q4ZG55	Q4ZG55
Q3KNR5	Q3KNR5
Q01546	Q01546
Q9P289	Q9P289
Q8IWV7	Q8IWV7
O95445	O95445
P28062	P28062
Q04771	Q04771
P55851	P55851
Q96DV4	Q96DV4
P51843	P51843
O43820	O43820
Q6XPS3	Q6XPS3
Q9BXA9	Q9BXA9
Q13952	Q13952
P49023	P49023
Q86VH2	Q86VH2
Q5VTT5	Q5VTT5
O14503	O14503
P07355	P07355
Q8NHQ8	Q8NHQ8
Q5JY77	Q5JY77
Q86VY4	Q86VY4
O95859	O95859
Q96SK3	Q96SK3
Q9UL03	Q9UL03
Q6PID4	Q14289
Q9NZN1	Q9NZN1
P54709	P54709
Q15323	Q15323
P36897	P36897
O94874	O94874
Q8N427	Q8N427
Q8NDX1	Q8NDX1
P29466	P29466
Q07157	Q07157
Q9Y6I8	Q9Y6I8
Q9NXW9	Q9NXW9
P36776	P36776
Q96T76	Q96T76
Q1WWK5	Q1WWK5
Q7L9B9	Q7L9B9
E5KS60	E5KS60
P12757	P12757
P06132	P06132
O60232	O60232
Q15700	Q15700
Q96RF1	Q96RF1
Q58DX5	Q58DX5
Q9Y262	Q9Y262
Q96MH6	Q96MH6
Q16517	Q16517
Q15906	Q15906
Q9UMQ3	Q9UMQ3
P02458	P02458
Q8NB25	Q8NB25
Q6PIK1	Q6PIK1
O75840	O75840
Q9UK17	Q9UK17
Q12769	Q12769
Q8NGV6	Q8NGV6
Q9UJV3	Q9UJV3
Q9UN86	Q9UN86
P48443	P48443
Q6IA17	Q6IA17
P47992	P47992
Q9HAC8	Q9HAC8
Q96D46	Q96D46
D6RF93	D6RF93
B5MCU0	B5MCU0
Q8WWM7	Q8WWM7
Q96FC9	Q96FC9
Q01082	Q01082
Q12889	Q12889
Q5T619	Q5T619
P26010	P26010
P20155	P20155
Q86Z02	Q86Z02
O75964	O75964
B2RCI8	B2RCI8
Q9H3Y6	Q9H3Y6
P13498	P13498
Q99622	Q99622
Q8N1A0	Q8N1A0
P42701	P42701
Q6P1R4	Q6P1R4
Q9UKS7	Q9UKS7
Q9NWZ3	Q9NWZ3
Q16656	Q16656
Q9BPX6	Q9BPX6
B7Z5V2	B7Z5V2
P41145	P41145
E7ESK6	E7ESK6
Q8N5A0	Q8N5A0
Q9BXY0	Q9BXY0
Q00994	Q00994
Q8TBY0	Q8TBY0
Q9NXF8	Q9NXF8
P01236	P01236
Q7Z4W3	Q7Z4W3
O00264	O00264
Q9HB07	Q9HB07
Q9NU23	Q9NU23
P30874	P30874
Q305V2	Q305V2
O96017	O96017
Q7KZI7	Q7KZI7
B4E0Q1	B4E0Q1
Q8N187	Q8N187
Q8WV74	Q8WV74
Q96P23	Q96P23
A2VCK2	A2VCK2
Q9UGC7	Q9UGC7
Q9HAY2	Q9HAY2
Q53H12	Q53H12
P04066	P04066
O15235	O15235
Q96PT3	Q96PT3
Q8NE86	Q8NE86
P58005	P58005
P35326	P35326
Q9ULP9	Q9ULP9
Q9HAZ2	Q9HAZ2
O76042	O76042
Q9Y6A9	Q9Y6A9
Q86YC3	Q86YC3
P80217	P80217
Q6FGJ9	Q6FGJ9
P51668	P51668
Q8IYM1	Q8IYM1
O95873	O95873
P42766	P42766
O96004	O96004
Q9UJ99	Q9UJ99
Q8TEU8	Q8TEU8
P07359	P07359
O60522	O60522
P98155	P98155
Q6P2D8	Q6P2D8
Q9UIL8	Q9UIL8
Q9BPU6	Q9BPU6
P61353	P61353
P04435	P04435
Q9Y2W7	Q9Y2W7
Q8NI38	Q8NI38
Q8N801	Q8N801
P11150	P11150
Q9BWG4	Q9BWG4
Q99504	Q99504
B4E2V5	B4E2V5
P13807	P13807
Q6QHK4	Q6QHK4
Q5T8I3	Q5T8I3
Q8IUC2	Q8IUC2
Q6NR77	Q6NR77
Q9BW92	Q9BW92
Q9H900	Q9H900
Q13309	Q13309
Q12999	Q12999
Q6ZTM8	Q6ZTM8
A6NCF5	A6NCF5
P32455	P32455
Q96QH2	Q96QH2
O60259	O60259
Q9NR64	Q9NR64
Q15119	Q15119
A0A0C4DG49	A0A0C4DG49
Q86UY5	Q86UY5
B5BU28	B5BU28
Q6UY14	Q6UY14
O75807	O75807
O14490	O14490
Q9UIW2	Q9UIW2
